Species,Stage,Depth water [m],Treat temp [°C],Resp O2/ind [µl/#/h],BM dry [mg],BM N [mg],BM C [mg],Ref data
Metridia asymmetrica,C6F,2500.0000,1.5000,0.1380,0.4530,0.0370,0.2000,Ikeda et al. (2006)
Metridia curticauda,C6F,750.0000,3.0000,0.1410,0.4840,0.0340,0.3000,Ikeda et al. (2006)
Metridia curticauda,C6F,1500.0000,2.0000,0.0660,0.9900,0.0730,0.5000,Ikeda et al. (2006)
Metridia okhotensis,C6F,750.0000,3.0000,0.2920,0.7130,0.0500,0.4000,Ikeda et al. (2006)
Metridia ornata,C5F,2500.0000,1.5000,0.4000,1.9060,0.1620,0.9000,Ikeda et al. (2006)
Metridia ornata,C6F,1500.0000,2.0000,0.2410,2.9000,0.2320,1.5000,Ikeda et al. (2006)
Metridia ornata,C6F,2500.0000,1.5000,0.2760,1.2670,0.1020,0.6000,Ikeda et al. (2006)
Metridia ornata,C6M,2500.0000,1.5000,0.2260,0.8680,0.0720,0.4000,Ikeda et al. (2006)
Metridia ornata,C6M,2500.0000,1.5000,0.1910,0.8180,0.0630,0.4000,Ikeda et al. (2006)
Mixtocalanus robstus,C6F,750.0000,3.0000,0.7740,1.0080,0.1120,0.5000,Ikeda et al. (2006)
Onchocalanus magnus,C5F,1500.0000,2.0000,0.9830,6.5960,0.4790,4.0000,Ikeda et al. (2006)
Onchocalanus magnus,C6F,1500.0000,2.0000,1.1310,5.7700,0.4210,2.8000,Ikeda et al. (2006)
Pachyptilus pacificus,C6F,750.0000,3.0000,0.4630,2.0650,0.1290,0.9000,Ikeda et al. (2006)
Pachyptilus pacificus,C6F,1500.0000,2.0000,0.1570,2.4100,0.1820,1.1000,Ikeda et al. (2006)
Pachyptilus pacificus,C6F,2500.0000,1.5000,0.1360,2.7240,0.1880,1.2000,Ikeda et al. (2006)
Paraeuchaeta barbata,C6F,750.0000,3.0000,0.7030,3.8620,0.2460,2.4000,Ikeda et al. (2006)
Paraeuchaeta birostrata,C5F,750.0000,3.0000,0.4480,1.7930,0.1310,1.0000,Ikeda et al. (2006)
Paraeuchaeta birostrata,C5M,750.0000,3.0000,0.3660,1.3510,0.0950,0.8000,Ikeda et al. (2006)
Paraeuchaeta birostrata,C5M,1500.0000,2.0000,0.3400,3.5270,0.2790,2.2000,Ikeda et al. (2006)
Paraeuchaeta birostrata,C6F,750.0000,3.0000,0.7960,4.8520,0.3630,2.8000,Ikeda et al. (2006)
Paraeuchaeta birostrata,C6F,1500.0000,2.0000,0.4900,4.2170,0.2990,2.4000,Ikeda et al. (2006)
Paraeuchaeta birostrata,C6F,1500.0000,2.0000,0.8120,4.4600,0.3400,2.6000,Ikeda et al. (2006)
Paraeuchaeta birostrata,C6F,2500.0000,1.5000,1.7870,8.8920,0.7740,4.9000,Ikeda et al. (2006)
Paraeuchaeta birostrata,C6M,1500.0000,2.0000,0.6000,2.4720,0.1870,1.5000,Ikeda et al. (2006)
Paraeuchaeta birostrata,C6M,1500.0000,2.0000,0.3500,2.4550,0.1850,1.5000,Ikeda et al. (2006)
Paraeuchaeta birostrata,C6M,2500.0000,1.5000,0.5560,2.1550,0.1480,1.3000,Ikeda et al. (2006)
Paraeuchaeta brevirostris,C6F,750.0000,3.0000,1.0090,4.9690,0.3570,2.9000,Ikeda et al. (2006)
Paraeuchaeta brevirostris,C6F,1500.0000,2.0000,0.6680,4.8080,0.3650,2.9000,Ikeda et al. (2006)
Paraeuchaeta elongata,C4F,750.0000,3.0000,0.2440,0.9390,0.0660,0.6000,Ikeda et al. (2006)
Paraeuchaeta elongata,C4M,750.0000,3.0000,0.1760,0.7140,0.0520,0.4000,Ikeda et al. (2006)
Paraeuchaeta elongata,C5F,750.0000,3.0000,0.2860,1.1920,0.0830,0.7000,Ikeda et al. (2006)
Paraeuchaeta elongata,C5F,750.0000,3.0000,0.5500,2.3800,0.1740,1.4000,Ikeda et al. (2006)
Paraeuchaeta elongata,C5F,1500.0000,2.0000,0.7400,2.1300,0.1880,1.1000,Ikeda et al. (2006)
Paraeuchaeta elongata,C5M,750.0000,3.0000,0.3140,1.1220,0.0790,0.7000,Ikeda et al. (2006)
Paraeuchaeta elongata,C5M,750.0000,3.0000,0.2610,1.2450,0.0960,0.7000,Ikeda et al. (2006)
Paraeuchaeta elongata,C5M,1500.0000,2.0000,0.4450,2.1520,0.1730,1.3000,Ikeda et al. (2006)
Paraeuchaeta elongata,C6F,750.0000,3.0000,0.8460,5.7150,0.3840,3.4000,Ikeda et al. (2006)
Paraeuchaeta elongata,C6F,750.0000,3.0000,1.0300,1.9430,0.1850,1.0000,Ikeda et al. (2006)
Paraeuchaeta modesta,C6F,750.0000,3.0000,1.0800,3.8670,0.2870,2.3000,Ikeda et al. (2006)
Paraeuchaeta orientalis,C6F,750.0000,3.0000,1.6170,8.5570,0.5290,4.7000,Ikeda et al. (2006)
Paraeuchaeta pseudotumidula,C6F,750.0000,3.0000,0.7960,2.5850,0.1730,1.5000,Ikeda et al. (2006)
Paraeuchaeta pseudotumidula,C6F,1500.0000,2.0000,0.6340,2.9770,0.2150,1.7000,Ikeda et al. (2006)
Paraeuchaeta pseudotumidula,C6F,2500.0000,1.5000,0.3100,1.1570,0.0900,0.7000,Ikeda et al. (2006)
Paraeuchaeta pseudotumidula,C6M,750.0000,3.0000,0.5400,2.2720,0.1710,1.3000,Ikeda et al. (2006)
Paraeuchaeta rubra,C5F,1500.0000,2.0000,0.3900,1.9040,0.1700,1.1000,Ikeda et al. (2006)
Paraeuchaeta rubra,C5F,2500.0000,1.5000,0.2640,2.1250,0.1490,1.2000,Ikeda et al. (2006)
Paraeuchaeta rubra,C5M,750.0000,3.0000,0.4910,1.9020,0.1320,1.1000,Ikeda et al. (2006)
Paraeuchaeta rubra,C5M,1500.0000,2.0000,0.2500,2.0980,0.1570,1.3000,Ikeda et al. (2006)
Paraeuchaeta rubra,C5M,2500.0000,1.5000,0.2690,2.6400,0.1750,1.6000,Ikeda et al. (2006)
Paraeuchaeta rubra,C6F,750.0000,3.0000,0.5800,3.4980,0.2730,2.0000,Ikeda et al. (2006)
Paraeuchaeta rubra,C6F,1500.0000,2.0000,0.6600,4.6250,0.2930,2.6000,Ikeda et al. (2006)
Paraeuchaeta rubra,C6F,2500.0000,1.5000,0.8390,4.6380,0.3390,2.8000,Ikeda et al. (2006)
Paraeuchaeta rubra,C6M,1500.0000,2.0000,0.2380,1.6500,0.1240,1.1000,Ikeda et al. (2006)
Pleuromamma scutullata,C6F,750.0000,3.0000,0.2760,0.4290,0.0310,0.2000,Ikeda et al. (2006)
Pleuromamma scutullata,C6M,750.0000,3.0000,0.3160,0.5640,0.0670,0.3000,Ikeda et al. (2006)
Pleuromamma xiphias,C6F,750.0000,3.0000,0.4720,0.5630,0.0670,0.2000,Ikeda et al. (2006)
Pseudochirella pacifica,C5,2500.0000,1.5000,1.4950,4.0740,0.3310,2.2000,Ikeda et al. (2006)
Pseudochirella pacifica,C5F,1500.0000,2.0000,0.5130,1.9450,0.1500,1.1000,Ikeda et al. (2006)
Pseudochirella pacifica,C5F,1500.0000,2.0000,0.6000,1.6370,0.1440,0.9000,Ikeda et al. (2006)
Pseudochirella pacifica,C5M,750.0000,3.0000,0.4880,0.7000,0.0710,0.3000,Ikeda et al. (2006)
Pseudochirella pacifica,C5M,1500.0000,2.0000,0.4300,0.5540,0.0510,0.3000,Ikeda et al. (2006)
Pseudochirella pacifica,C6F,2500.0000,1.5000,1.0000,2.7720,0.3100,1.2000,Ikeda et al. (2006)
Pseudochirella polyspina,C5F,2500.0000,1.5000,0.1560,1.0850,0.0700,0.6000,Ikeda et al. (2006)
Pseudochirella polyspina,C6F,1500.0000,2.0000,0.8500,2.5250,0.2630,1.2000,Ikeda et al. (2006)
Pseudochirella polyspina,C6F,1500.0000,2.0000,0.6450,3.0570,0.2910,1.6000,Ikeda et al. (2006)
Pseudochirella polyspina,C6F,2500.0000,1.5000,0.8900,2.6880,0.2560,1.3000,Ikeda et al. (2006)
Pseudochirella polyspina,C6F,2500.0000,1.5000,1.7620,4.1460,0.4520,2.0000,Ikeda et al. (2006)
Pseudochirella polyspina,C6F,2500.0000,1.5000,0.9220,2.5330,0.2610,1.3000,Ikeda et al. (2006)
Pseudochirella spinifera,C5F,1500.0000,2.0000,0.4220,1.7900,0.1470,1.0000,Ikeda et al. (2006)
Pseudochirella spinifera,C5M,750.0000,3.0000,0.5830,1.5920,0.1250,0.9000,Ikeda et al. (2006)
Pseudochirella spinifera,C5M,750.0000,3.0000,0.6320,1.2750,0.1090,0.7000,Ikeda et al. (2006)
Pseudochirella spinifera,C5M,2500.0000,1.5000,0.9350,3.6390,0.2350,2.2000,Ikeda et al. (2006)
Pseudochirella spinifera,C6M,1500.0000,2.0000,0.1760,1.2000,0.1080,0.6000,Ikeda et al. (2006)
Pseudochirella spinifera,C6M,1500.0000,2.0000,0.2900,1.3630,0.1020,0.8000,Ikeda et al. (2006)
Scaphocalanus affinis,C5F,2500.0000,1.5000,0.5030,2.5770,0.1420,1.6000,Ikeda et al. (2006)
Scaphocalanus affinis,C6F,2500.0000,1.5000,0.3730,1.5240,0.1370,0.8000,Ikeda et al. (2006)
Scaphocalanus magnus,C6F,1500.0000,2.0000,0.4400,1.1660,0.1160,0.6000,Ikeda et al. (2006)
Scaphocalanus medius,C6F,750.0000,3.0000,0.4110,1.0620,0.0790,0.6000,Ikeda et al. (2006)
Scaphocalanus medius,C6F,1500.0000,2.0000,0.2630,1.1150,0.0800,0.7000,Ikeda et al. (2006)
Scolecithricella sp.,C6F,2500.0000,1.5000,0.1350,0.4470,0.0380,0.2000,Ikeda et al. (2006)
Scottocalanus securifrons,C6F,1500.0000,2.0000,0.5370,1.4520,0.1630,0.7000,Ikeda et al. (2006)
Scottocalanus securifrons,C6F,2500.0000,1.5000,1.1620,5.6400,0.4860,3.1000,Ikeda et al. (2006)
Spinocalanus magnus,C6F,2500.0000,1.5000,0.2320,0.8680,0.0610,0.5000,Ikeda et al. (2006)
Spinocalanus stellatus,C6F,750.0000,3.0000,0.5030,0.8180,0.0590,0.4000,Ikeda et al. (2006)
Undeuchaeta major,C5F,2500.0000,1.5000,0.0820,0.4450,0.0450,0.2000,Ikeda et al. (2006)
Undeuchaeta major,C6F,1500.0000,2.0000,0.8340,3.3500,0.2710,1.7000,Ikeda et al. (2006)
Undeuchaeta major,C6F,1500.0000,2.0000,0.7060,2.4770,0.2580,1.2000,Ikeda et al. (2006)
Undeuchaeta plumosa,C6F,750.0000,3.0000,1.2730,3.3320,0.3220,1.7000,Ikeda et al. (2006)
Undeuchaeta plumosa,C6F,1500.0000,2.0000,1.1280,2.8200,0.2750,1.4000,Ikeda et al. (2006)
Xanthocalanus kurilensis,C6F,2500.0000,1.5000,0.1090,1.0410,0.0940,0.6000,Ikeda et al. (2006)
Acartia australis,,2.0000,25.0000,0.0550,0.0090,0.0010,0.0000,Ikeda et al. (2001)
Acartia clausi,,2.0000,14.8000,0.0300,0.0090,0.0010,0.0000,Ikeda et al. (2001)
Acartia longiremis,,2.0000,9.6000,0.0280,0.0080,0.0010,0.0000,Ikeda et al. (2001)
Acartia pacifica,,2.0000,26.0000,0.0460,0.0080,0.0010,0.0000,Ikeda et al. (2001)
Acartia tonsa,,2.0000,22.0000,0.0560,0.0070,0.0010,0.0000,Ikeda et al. (2001)
Calanoides acutus,C4.5,2.0000,-0.6000,0.1630,0.2660,0.0210,0.1000,Ikeda et al. (2001)
Calanoides acutus,C5,2.0000,-0.2000,0.2110,0.3940,0.0340,0.2000,Ikeda et al. (2001)
Calanopia elliptica,,2.0000,26.0000,0.2800,0.0560,0.0050,0.0000,Ikeda et al. (2001)
Calanus finmarchicus,C6F,2.0000,0.1000,0.3280,0.3870,0.0290,0.2000,Ikeda et al. (2001)
Calanus glacialis,C6F,21.0000,1.9000,0.6160,0.4740,0.0500,0.2000,Ikeda et al. (2001)
Calanus hyperboreus,C5,50.0000,-0.3000,1.0540,2.6770,0.1800,1.6000,Ikeda et al. (2001)
Calanus hyperboreus,C5,50.0000,0.9000,1.0280,1.9430,0.1440,1.1000,Ikeda et al. (2001)
Calanus hyperboreus,C6F,50.0000,1.3000,1.4850,3.9500,0.2820,2.3000,Ikeda et al. (2001)
Calanus propinquus,,2.0000,-1.0000,1.1790,1.0420,0.1300,0.5000,Ikeda et al. (2001)
Centropages abdominalis,,2.0000,15.9000,0.0860,0.0170,0.0020,0.0000,Ikeda et al. (2001)
Centropages brachiatus,,2.0000,17.3000,0.1150,0.0200,0.0020,0.0000,Ikeda et al. (2001)
Eucalanus attenuatus,,2.0000,27.4000,0.9050,0.1370,0.0130,0.1000,Ikeda et al. (2001)
Eucalanus bungii,,2.0000,6.0000,0.7950,1.0100,0.0990,0.4000,Ikeda et al. (2001)
Eucalanus subcrassus,,2.0000,24.0000,0.6550,0.1040,0.0100,0.0000,Ikeda et al. (2001)
Euchaeta marina,,2.0000,24.0000,1.3370,0.2900,0.0280,0.1000,Ikeda et al. (2001)
Labidocera acuta,,2.0000,24.0000,1.8900,0.2330,0.0220,0.1000,Ikeda et al. (2001)
Labidocera acuta,,2.0000,28.5000,2.0700,0.2320,0.0280,0.1000,Ikeda et al. (2001)
Labidocera nerii,,2.0000,26.4000,1.5150,0.2210,0.0270,0.1000,Ikeda et al. (2001)
Mesocalanus tenuicornis,,2.0000,15.8000,0.2200,0.0310,0.0040,0.0000,Ikeda et al. (2001)
Metridia gerlachei,,2.0000,-1.4000,0.3200,0.2650,0.0300,0.1000,Ikeda et al. (2001)
Metridia longa,C6F,50.0000,0.1000,0.4060,0.3530,0.0370,0.2000,Ikeda et al. (2001)
Metridia pacifica,,2.0000,8.2000,0.3820,0.1480,0.0160,0.1000,Ikeda et al. (2001)
Metridia pacifica,,2.0000,13.0000,0.2740,0.0940,0.0110,0.0000,Ikeda et al. (2001)
Nannocalanus minor,,2.0000,26.9000,0.2100,0.0400,0.0040,0.0000,Ikeda et al. (2001)
Neocalanus cristatus,C5,2.0000,6.3000,1.6700,1.5870,0.1330,0.8000,Ikeda et al. (2001)
Neocalanus gracilis,,2.0000,19.7000,1.6400,0.5000,0.0510,0.2000,Ikeda et al. (2001)
Neocalanus plumchrus,C4,2.0000,5.6000,0.2800,0.2630,0.0210,0.1000,Ikeda et al. (2001)
Neocalanus plumchrus,C5,2.0000,7.3000,0.6800,0.7850,0.0630,0.5000,Ikeda et al. (2001)
Neocalanus plumchrus,,2.0000,15.1000,0.5550,0.2940,0.0260,0.1000,Ikeda et al. (2001)
Paracalanus parvus,,2.0000,13.9000,0.0310,0.0040,0.0000,0.0000,Ikeda et al. (2001)
Pontella danae,,2.0000,26.4000,3.4300,0.7000,0.0840,0.3000,Ikeda et al. (2001)
Pseudocalanus elongatus,,2.0000,8.6000,0.0400,0.0120,0.0010,0.0000,Ikeda et al. (2001)
Pseudodiaptomus marinus,,2.0000,14.3000,0.0560,0.0140,0.0020,0.0000,Ikeda et al. (2001)
Rhincalanus gigas,,50.0000,-1.7000,0.4370,1.0800,0.1060,0.5000,Ikeda et al. (2001)
Tortanus discaudatus,,2.0000,7.0000,0.1200,0.0570,0.0060,0.0000,Ikeda et al. (2001)
Tortanus gracilis,,2.0000,26.0000,0.1430,0.0240,0.0020,0.0000,Ikeda et al. (2001)
Undinula vulgaris,,2.0000,23.5000,0.9660,0.1850,0.0180,0.1000,Ikeda et al. (2001)
Undinula vulgaris,,2.0000,27.6000,1.3990,0.1670,0.0180,0.1000,Ikeda et al. (2001)
Neocalanus cristatus,C5,25.0000,5.0000,1.0000,1.7200,0.1650,0.7000,Ikeda et al. (2004)
